profundidad,hojas_minimas,exactitud_train,exactitud_validation,f1_validation,diferencia_train_validation,exactitud_oob
6,4,0.9882697947214076,0.9736842105263158,0.9647058823529412,0.014585584195091816,0.9442815249266863
8,4,0.9882697947214076,0.9736842105263158,0.9647058823529412,0.014585584195091816,0.9442815249266863
4,4,0.9912023460410557,0.9736842105263158,0.9647058823529412,0.017518135514739908,0.9472140762463344
5,4,0.9912023460410557,0.9736842105263158,0.9647058823529412,0.017518135514739908,0.9472140762463344
4,1,0.9941348973607038,0.9736842105263158,0.9647058823529412,0.020450686834388,0.9501466275659824
4,2,0.9941348973607038,0.9736842105263158,0.9647058823529412,0.020450686834388,0.9530791788856305
5,2,0.9941348973607038,0.9736842105263158,0.9647058823529412,0.020450686834388,0.9501466275659824
6,2,0.9941348973607038,0.9736842105263158,0.9647058823529412,0.020450686834388,0.9501466275659824
8,2,0.9941348973607038,0.9736842105263158,0.9647058823529412,0.020450686834388,0.9501466275659824
5,1,0.9970674486803519,0.9736842105263158,0.9647058823529412,0.02338323815403609,0.9560117302052786
6,1,0.9970674486803519,0.9736842105263158,0.9647058823529412,0.02338323815403609,0.9413489736070382
8,1,1.0,0.9736842105263158,0.9647058823529412,0.02631578947368418,0.9530791788856305
